GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.046532103627562056,1595061555.0,-0.061598781892635915,-24264480.0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.16912958468334413,779996700.0,-1.0171121646739194,10216490.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.19122001910000233,1443543450.0,-1.5907423054655838,-523105.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.432344594615509,3099339260.0,-2.283791645206636,-11827390.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.16507229549581767,1235769540.0,-0.46575717501784886,145031560.0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.04613954971173996,10750465907.0,0.0793272129566015,2959856963.5
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.24800486822376638,6598948625.0,-0.8193501677153853,172090150.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0957928840820226,1866325370.0,0.1775351631709707,32999130.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.603711790904778,2249479080.0,-3.557130785284458,10494135.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.17925392024423603,989374535.0,0.30325789376599904,359298385.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.19814535200091482,18643042380.0,0.5780843361998816,1207170395.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.008094424290620465,2084183100.0,-0.33734326731098246,134776925.0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.05217977627257429,620148415.0,-6.613889236566294,3501965.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.016834461600705897,1968040530.0,-0.34994889518990924,-71412075.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.20103157284586426,3280298450.0,-3.0105429376435584,-102143750.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.5247512131961687,3102975240.0,0.17205633345305232,817914735.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.08944342664040868,6289244940.0,-1.100035442634759,-31473565.0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.16823562195083672,1571097775.0,0.1461213941405589,19157975.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.09138021312659278,4400892470.0,0.6223146493809668,122868330.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.14508553180481729,1966098190.0,0.1996499064140927,376887795.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.411087388301915,1769637890.0,0.16332858590034083,174610460.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.9235218775206234,47879671670.5818,-10.473023674163072,1398069161.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.10187286930984701,3928677325.0,0.20719253004442084,101040970.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0046159054629323895,6793983225.0,-3.0194011243681333,19420305.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.11717291852048747,4231959455.0,-0.21951273101825605,47000475.0
