GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0913802131265927,122868330.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.1450855318048172,376887795.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.411087388301915,174610460.0,0,3
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.9235218775206234,1398069161.0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.101872869309847,101040970.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0046159054629323,19420305.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1171729185204874,47000475.0,0,3
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0972308740714266,2485580000.0,3,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0654346133332385,-113540030.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.0327836542386742,641623890.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0395397566514559,-111572455.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.1222891850500552,10828970.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.0525761964147363,1398368605.0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.1600432562461683,46378120.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2807064749237918,101721485.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.0208335927695817,12237040.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.2925355254940215,373015230.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0714980643893323,173125510.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0008564043165534,-76268515.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1241254676466409,-172591150.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0972308740714266,15000000000.0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0972308740714266,-3771775260.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0252041674006699,155553295.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0361584777666193,49579260.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.226316119758459,16553280.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.08505669456541,167060035.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.0804921665837894,3306280.0,0,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0873988290922059,214064235.0,0,3
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.358726960692671,7699250.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.1764653152124322,-631115.0,0,3
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.4205075678669798,1645112785.0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1392689404451356,42402070.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.4523956636480248,56142350.0,0,3
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.1035672966491291,6160634000.0,3,4
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.0470640686934638,71625455.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.4929582195706412,-15765965.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.0667809659011016,13528430.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0346899721137749,-222531820.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.454387042916704,-312094020.0,0,3
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.2488733746450608,11257165951.0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0776996798929882,-70206090.0,0,3
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.1344476909211518,23680575.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0908824564528439,186224205.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1814425475465322,760953275.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.1465654219549922,117438510.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.2951122941621886,177754470.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.4428607068922275,312484015.0,0,3
